codiceistat,siglaprov,comune,localita,indirizzo,long,lat
051001,AR,ANGHIARI,ANGHIARI,CORSO GIACOMO MATTEOTTI,12.054382,43.540994
051001,AR,ANGHIARI,,EX STRADA PROVINCIALE PER PIEVE SANTO STEFANO,12.035901,43.577601
051001,AR,ANGHIARI,ANGHIARI,IL POGGIOLINO,12.056916,43.541069
051001,AR,ANGHIARI,VALIALLE,LOCALITA' CASALE,12.033668,43.525618
051001,AR,ANGHIARI,,LOCALITA' CASALE,12.001381,43.514983
051001,AR,ANGHIARI,BAGNAIA,LOCALITA' CATIGLIANO,12.056313,43.479551
051001,AR,ANGHIARI,CATIGLIANO,LOCALITA' CATIGLIANO,12.070864,43.501967
051001,AR,ANGHIARI,,LOCALITA' CATIGLIANO,12.058015,43.476300
051001,AR,ANGHIARI,SCHEGGIA,LOCALITA' LA SCHEGGIA,11.964414,43.548000
051001,AR,ANGHIARI,,LOCALITA' LA SCHEGGIA,11.973818,43.546277
051001,AR,ANGHIARI,CARMINE,LOCALITA' MOTINA,12.026449,43.565582
051001,AR,ANGHIARI,,LOCALITA' MOTINA,12.041553,43.563259
051001,AR,ANGHIARI,BAGNOLO II,LOCALITA' PONTE ALLA PIERA,12.016660,43.586236
051001,AR,ANGHIARI,PONTE ALLA PIERA,LOCALITA' PONTE ALLA PIERA,11.991987,43.586158
051001,AR,ANGHIARI,BERTINE,LOCALITA' SAN LEO,12.086277,43.529008
051001,AR,ANGHIARI,TUBBIANO,LOCALITA' SAN LEO,12.082186,43.535169
051001,AR,ANGHIARI,,LOCALITA' SAN LEO,12.094458,43.527630
051001,AR,ANGHIARI,FOSSA,LOCALITA' SAN LORENZO,12.045878,43.528035
051001,AR,ANGHIARI,SAN LORENZO,LOCALITA' SAN LORENZO,12.064796,43.522541
051001,AR,ANGHIARI,,LOCALITA' SAN LORENZO,12.065075,43.525946
051001,AR,ANGHIARI,MULINELLO,LOCALITA' SANTO STEFANO,12.077929,43.543549
051001,AR,ANGHIARI,,LOCALITA' SANTO STEFANO,12.081550,43.544844
051001,AR,ANGHIARI,BAGNOLO I,LOCALITA' TAVERNELLE,12.024473,43.557302
051001,AR,ANGHIARI,CAPPUCCINI DI MONTAUTO,LOCALITA' TAVERNELLE,12.013553,43.552094
051001,AR,ANGHIARI,GUALCHIERA (BAGNOLO),LOCALITA' TAVERNELLE,12.018579,43.565120
051001,AR,ANGHIARI,,LOCALITA' TAVERNELLE,12.013533,43.548187
051001,AR,ANGHIARI,PALAZZO,LOCALITA' TOPPOLE,12.063635,43.506537
051001,AR,ANGHIARI,SCOIANO,LOCALITA' TOPPOLE,12.061651,43.509840
051001,AR,ANGHIARI,TOPPOLE,LOCALITA' TOPPOLE,12.023743,43.496359
051001,AR,ANGHIARI,,LOCALITA' TOPPOLE,12.029116,43.498962
051001,AR,ANGHIARI,VIAIO,LOCALITA' VIAIO,12.063601,43.567829
051001,AR,ANGHIARI,,LOCALITA' VIAIO,12.054477,43.573165
051001,AR,ANGHIARI,ANGHIARI,PIAZZA BALDACCIO,12.054693,43.540779
051001,AR,ANGHIARI,ANGHIARI,PIAZZA DEL POPOLO,12.057034,43.540638
